日期,中国:公开市场操作:货币净投放,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,中国:平均批发价:猪肉,南华工业品指数,地铁客运量
2021-7-1,-175.0,144.37285714285716,73.2131271,199.73,22.615714285714287,3124.8928571428573,3388.637
2021-7-2,0.0,140.38714285714286,61.7730336,199.685,22.16,3174.0514285714285,3469.527
2021-7-3,200.0,139.36,54.84846354545454,199.57,22.02285714285714,3203.525,3282.902727272727
2021-8-1,-400.0,141.91285714285715,49.0934556,199.98,21.874285714285715,3149.978571428572,2981.6620000000003
2021-8-2,0.0,145.3775,47.9101097,200.02,21.425,3125.945,3159.5
2021-8-3,1250.0,148.90714285714284,49.20783345454545,200.07,20.95428571428572,3179.7771428571427,3036.561818181818
2021-9-1,-625.0,153.1775,50.1282304,199.79,20.61875,3275.39125,3365.512
2021-9-2,900.0,167.57333333333332,48.8580829,199.62,19.97833333333333,3307.118,3142.2850000000003
2021-9-3,3700.0,191.04375,52.878052100000005,199.86,19.1875,3437.447142857143,3493.951
2021-10-1,0.0,204.14,24.6509651,199.82,17.86,3604.01,2619.403
2021-10-2,-4500.0,212.2525,51.38538129999999,199.115,18.9725,3745.6575,3544.563
2021-10-3,4700.0,213.6142857142857,50.41067663636363,198.89,21.54142857142857,3438.3142857142857,3327.291818181818
2021-11-1,-7800.0,212.03625,48.1110391,198.335,23.3575,3149.34875,3356.6090000000004
2021-11-2,-50.0,209.6442857142857,52.3381861,198.31,24.197142857142858,3048.192857142857,3344.59
2021-11-3,1900.0,204.3685714285714,52.9087436,197.865,24.49142857142857,3110.127142857142,3311.294
2021-12-1,-1750.0,197.91875,49.1743371,197.51,24.58625,3076.3,3437.584
2021-12-2,0.0,192.10333333333327,51.7220468,197.3,23.933333333333334,3149.3283333333334,3125.883
2021-12-3,3250.0,187.05,74.03601518181819,197.07,23.57,3191.825555555556,3480.379090909091
2022-3-1,-2966.6666666666665,173.01588235294116,30.425631766666665,196.3325,20.52529411764706,3655.164123529412,2630.0866666666666
2022-3-2,-2560.0,172.36,40.43072196666667,196.21,20.247,3553.172,2618.771846153846
2022-3-3,4150.0,171.12142857142857,44.0687263,195.868,19.691304347826087,3706.07761904762,2426.619
2022-4-1,-750.0,172.356,26.1725325,194.31,18.22,3985.875,1761.496
2022-4-2,200.0,171.55125,35.6791643,194.145,18.08625,4024.5575,1788.452
2022-4-3,0.0,169.5925,36.1457846,193.88,19.25625,3948.477142857143,1895.873
2022-5-1,-400.0,166.988,24.7904807,193.46,20.188,3897.3375,1333.015
2022-5-2,150.0,164.46125,38.9159187,193.45,20.707142857142856,3878.145,1460.7385
2022-5-3,0.0,161.5742857142857,38.79658190909091,193.27,21.15285714285714,3938.261428571429,1399.1543636363635
2022-6-1,0.0,154.4,37.7810221,192.95,21.094285714285714,4108.841428571429,2118.222
2022-6-2,0.0,150.15,64.0418937,192.765,21.11,3929.736666666666,2254.0420000000004
2022-6-3,500.0,146.6225,83.3268899,192.66,22.41125,3712.45625,2672.294
2022-7-1,-425.0,144.13833333333335,39.4202977,192.45,27.26,3604.65,2625.9999999999995
2022-7-2,0.0,143.01,42.1680715,192.385,30.16375,3401.97625,2876.088
2022-7-3,5.0,142.59285714285713,44.93467909090909,192.19,29.572857142857146,3488.498571428572,2715.8045454545454
2022-8-1,-60.0,142.7225,37.1638356,191.79,29.065,3603.4025,3031.088
2022-8-2,0.0,142.5857142857143,37.7302457,191.73,29.074285714285715,3611.5457142857135,2989.679
2022-8-3,0.0,144.845,44.27045563636364,191.575,29.245,3663.415,2956.405454545454
2022-9-1,0.0,145.79285714285714,30.761859,191.06,30.38142857142857,3614.258571428572,2699.936
2022-9-2,-20.0,145.44,34.1974104,190.94,30.816666666666663,3706.945,2800.655
2022-9-3,4800.0,148.65625,66.7180367,190.63,31.335,3699.58125,3223.244
2022-10-1,-6110.0,152.6,18.8087026,190.055,33.013333333333335,3798.55,2316.197
2022-10-2,-3280.0,153.39375,41.1012036,189.83,34.45,3688.90125,2861.306
2022-10-3,4105.0,154.5885714285714,43.765513,189.54,35.285714285714285,3588.5,2655.8081818181818
2022-11-1,-7370.0,154.10625000000002,37.1553952,189.25,34.90125,3647.1425,2616.207
2022-11-2,1440.0,154.19500000000002,37.2325094,189.08,33.565,3761.505,2256.348
2022-11-3,-3780.0,153.41,41.0603753,188.59,33.07,3696.06875,1891.732
2022-12-1,-65.0,150.4385714285714,42.7534976,187.89,31.93,3745.855714285714,2115.619
2022-12-2,390.0,147.69285714285712,40.1007343,187.52,29.76714285714285,3801.694285714286,1598.453
2022-12-3,8395.0,144.43875,55.34622318181818,187.1,26.61125,3838.78,1483.3527272727274
2023-3-1,-7050.0,138.58318181818183,39.67757933333333,186.2425,22.356818181818184,3894.1356909090905,3138.684
2023-3-2,6080.0,138.72611111111112,40.7349242,187.052,21.652,3879.00966,3099.821
2023-3-3,-430.0,139.38941176470587,41.232344266666665,186.81,20.885,3863.73,2981.025333333333
2023-4-1,-11320.0,140.872,36.4880637,186.905,19.8025,3818.938,3402.83
2023-4-2,250.0,139.10625,44.3118458,186.65,19.43142857142857,3815.4625,3825.726
2023-4-3,3340.0,136.07142857142858,46.8816394,186.41,19.495,3661.303333333333,3833.809
2023-5-1,-6860.0,134.53666666666666,35.0711876,186.15,19.613333333333333,3564.91,3479.369
2023-5-2,-130.0,131.54857142857142,44.1636557,185.77,19.43,3524.02,3610.547
2023-5-3,80.0,128.1175,48.48526436363636,185.435,19.35375,3419.96625,3519.9063636363635
2023-6-1,-40.0,124.73571428571428,35.3948015,184.99,19.165714285714284,3483.15,3525.383
2023-6-2,400.0,121.29571428571428,38.6418774,185.04,19.162857142857145,3560.05,3534.5820000000003
2023-6-3,5595.0,118.42428571428572,51.888356,184.15,19.02285714285714,3572.17,3665.01
2023-7-1,-11560.0,115.78833333333334,28.0732583,184.29,18.94333333333333,3617.153333333333,3754.526
2023-7-2,180.0,113.0525,28.4958379,184.1,18.905,3718.75625,3979.038
2023-7-3,1550.0,111.28428571428572,35.71053227272727,183.745,19.50142857142857,3810.932857142857,3755.152727272728
2023-8-1,-2880.0,109.81375,26.7505112,183.32,22.125,3813.07875,3990.593
2023-8-2,3610.0,109.50333333333332,25.9182327,183.26,22.631666666666664,3810.3716666666655,3825.348
2023-8-3,-470.0,109.44555555555556,38.51136709090909,182.975,22.630000000000003,3929.446666666666,3901.4
2023-9-1,85.0,106.97666666666667,24.1082529,182.39,22.53,4060.993333333333,3349.724
2023-9-2,-70.0,105.295,33.0987401,182.155,22.29125,4119.28,3753.053
2023-9-3,8545.0,105.71333333333332,45.0827952,181.69,22.254,4063.8783333333336,3635.474
2023-10-1,0.0,105.8975,18.5151072,180.425,21.85,3950.765,3148.1280000000006
2023-10-2,-4965.0,106.35875,38.8487146,179.97,21.53625,3974.2975,3950.380000000001
2023-10-3,13700.0,108.97571428571428,43.32494963636364,179.305,20.912857142857145,3990.701428571429,3775.6263636363633
2023-11-1,-7870.0,110.38625,29.3614058,178.29,20.555,4016.9825,3875.563
2023-11-2,5110.0,110.85,29.4185572,178.01,20.256666666666668,4036.15,3699.028
2023-11-3,4060.0,111.51625,38.9772558,177.38,20.21625,4000.885,3834.955
2023-12-1,-5450.0,113.65666666666668,32.0695019,176.53,20.08833333333333,3975.2183333333337,3617.773
2023-12-2,1990.0,113.005,41.2733268,176.25,20.06,3984.295,3720.12
2023-12-3,7815.0,113.35285714285716,50.60292418181818,176.0,20.47714285714286,4047.312857142857,3789.29
2024-3-1,-7104.0,109.41631578947369,20.773186666666668,174.1525,20.976190476190474,3985.084210526316,3350.035
2024-3-2,3800.0,108.39888888888888,18.05319013333333,173.368,20.27277777777778,3970.152941176471,3375.3486666666668
2024-3-3,950.0,107.39818181818184,29.943642225806453,173.5125,20.48,3998.8936363636367,3735.260967741936
2024-4-1,-4440.0,104.73285714285714,20.934048,170.51,20.45142857142857,4015.613333333333,3765.068
2024-4-2,-1980.0,107.13857142857144,26.1035529,170.18,20.68142857142857,4140.585714285714,3929.723
2024-4-3,0.0,107.83,30.9703451,169.545,20.48125,4183.561428571428,3859.502
2024-5-1,0.0,107.794,17.3091429,168.57,20.446,4166.2,3626.801
2024-5-2,20.0,107.71285714285716,28.0580712,168.34,20.518571428571427,4193.81,3833.056
2024-5-3,3010.0,112.06666666666666,33.246931363636364,168.01,21.56,4276.891111111111,3902.875454545454
2024-6-1,-6040.0,116.554,21.6302338,166.89,23.756,4126.496,3545.81
2024-6-2,-20.0,117.585,31.092449,166.64,24.63625,4103.7875,3853.132
2024-6-3,3710.0,117.61,48.5661862,166.51,24.36,4089.806666666667,3731.35
2024-7-1,-7400.0,117.16875,26.7812028,165.34,24.34625,4138.03875,4075.915
2024-7-2,5865.0,119.14571428571428,23.4777546,165.06,24.844285714285714,4052.6885714285713,4106.322
2024-7-3,-1982.5,117.91375,26.817954181818184,164.575,25.1625,3882.51,3930.05
2024-8-1,-4817.3,116.16285714285712,21.819964,163.61,25.76,3808.86,4000.904
2024-8-2,15236.1,115.51285714285714,21.3631385,163.415,27.285714285714285,3739.175714285714,3879.429
2024-8-3,-715.5,114.15875,26.06150945454545,163.12,27.59875,3778.73125,3958.981818181818
2024-9-1,-11916.0,115.28714285714284,18.2198495,161.885,27.21,3590.002857142857,3637.524
2024-9-2,7961.0,115.57142857142856,17.4252203,161.6,26.99428571428572,3585.8233333333333,3738.509
2024-9-3,-3410.5,117.93142857142855,33.303675299999995,161.0,25.958571428571428,3723.54,3726.893
2024-10-1,2340.0,124.93333333333334,14.1010888,160.32,24.993333333333336,3888.94,3328.347
2024-10-2,-3503.5,126.47714285714288,38.2557204,160.18,24.988571428571426,3852.83,3903.753
2024-10-3,12573.8,129.99555555555557,44.255872454545454,159.92000000000002,24.702222222222225,3809.8577777777778,3958.8790909090912
2024-11-1,-10836.0,132.36,33.5910121,158.98,24.37833333333333,3837.0816666666665,3797.096
2024-11-2,17171.0,133.1275,33.8790868,158.89499999999998,23.985,3760.01875,3905.885
2024-11-3,-1570.35,133.76285714285714,49.674483,158.66,23.46857142857143,3780.2242857142855,3912.179
2024-12-1,-11321.0,133.11857142857144,38.9052328,157.83499999999998,23.29,3776.684285714286,3826.443
2024-12-2,6621.0,132.245,48.7551779,157.65,23.0475,3781.97375,3925.899
2024-12-3,-10969.5,130.92714285714283,60.76504281818182,157.555,22.415714285714284,3756.924285714286,3837.506363636364
2025-3-1,-6267.0,124.1377777777778,18.957125933333334,156.79000000000002,22.099444444444444,3772.2423529411767,3455.383333333333
2025-3-2,2137.6666666666665,123.72136363636363,24.143066,157.0475,21.68227272727273,3818.008636363637,3865.893666666667
2025-3-3,4179.650000000001,122.82529411764708,27.622462266666663,156.6775,21.66684210526316,3808.0661111111112,3401.092
